latitude longitude arsenic censor depth_m year_made year_observed
23.79 90.269 0.5 1 43 1989 1998
23.794 90.293 0.5 1 43 1997 1998
23.73 90.339 13.3 0 44 1996 1998
23.73 90.317 0.5 1 76 1997 1998
23.732 90.276 43.3 0 25 1996 1998
23.687 90.287 98.4 0 85 1996 1998
23.686 90.308 0.5 1 85 1995 1998
23.701 90.384 0.5 1 73 1998 1998
23.667 90.434 0.5 1 74 1995 1998
23.632 90.081 262 0 51 1982 1998
23.642 90.047 11.7 0 65 1997 1998
23.595 90.139 107 0 63 1992 1998
23.577 90.148 65 0 57 1981 1998
23.538 90.176 81.1 0 61 1995 1998
23.659 90.166 94.2 0 56 1983 1998
23.644 90.179 95.6 0 59 1997 1998
23.631 90.21 58.7 0 49 1995 1998
23.622 90.226 70.4 0 54 1979 1998
23.649 90.204 262 0 56 1978 1998
23.641 90.215 81.2 0 61 1998 1998
24.382 91.903 0.5 1 44 1996 1998
24.405 91.858 47.1 0 44 1994 1998
24.404 91.846 7.3 0 67 1995 1998
24.315 91.843 0.5 1 23 1995 1998
24.354 91.846 13.8 0 44 1992 1998
24.321 91.855 0.5 1 69 1998 1998
24.278 91.864 18.4 0 46 1993 1998
24.356 91.858 8.7 0 41 1992 1998
24.518 91.976 17.6 0 59 1997 1998
24.566 91.978 3.4 0 49 1996 1998
24.502 92.03 7.4 0 26 1983 1998
24.502 92.03 32.2 0 64 1994 1998
24.528 92.038 39 0 59 1985 1998
24.459 92.152 0.5 1 39 1993 1998
24.487 92.144 0.5 1 34 1996 1998
24.59 92.118 2.2 0 33 1996 1998
24.562 92.162 0.5 1 23 1995 1998
24.84 91.768 0.5 1 30 1993 1998
24.814 91.759 2.7 0 90 1983 1998
24.859 91.731 2.1 0 92 1997 1998
24.79 91.661 29.9 0 99 1997 1998
24.784 91.713 23 0 108 1997 1998
24.916 91.722 10 0 105 1997 1998
24.878 92.37 0.5 1 47 1984 1998
24.891 92.373 29.3 0 39 1985 1998
24.944 92.385 50.8 0 46 1996 1998
24.577 91.689 74.5 0 100 1992 1998
24.484 91.682 58.5 0 100 1991 1998
24.486 91.633 23.7 0 34 1974 1998
24.461 91.65 27.6 0 67 1997 1998
24.49 91.75 11.5 0 84 1996 1998
24.412 91.758 3.8 0 48 1988 1998
24.485 91.767 4.5 0 72 1987 1998
24.519 91.779 56.9 0 72 1996 1998
24.484 91.781 1.1 0 46 1994 1998
24.605 91.85 7.3 0 39 1995 1998
24.556 91.853 25 0 57 1997 1998
24.622 91.929 1.5 0 46 1997 1998
24.597 91.903 0.6 0 52 1991 1998
24.517 91.897 0.5 1 59 1996 1998
24.482 91.894 0.5 1 57 1982 1998
24.5 91.815 0.5 1 37 1980 1998
24.705 91.802 10.1 0 62 1986 1998
24.712 91.799 17.1 0 148 1996 1998
24.632 91.688 157 0 137 1996 1998
24.67 91.749 71.9 0 59 1973 1998
24.719 91.695 29.8 0 251 1997 1998
24.718 91.695 19.4 0 60 1978 1998
24.75 91.829 26.8 0 65 1993 1998
24.754 91.786 24.1 0 72 1994 1998
24.797 92.12 1.6 0 54 1997 1998
24.812 92.181 0.5 1 30 1997 1998
24.31 91.741 3.1 0 42 1986 1998
24.259 91.737 0.5 1 36 1987 1998
24.211 91.696 3.7 0 31 1993 1998
24.271 91.646 4.2 0 48 1990 1998
24.4 91.637 9.5 0 29 1992 1998
24.3 91.666 21.4 0 59 1997 1998
24.373 91.751 14.6 0 41 1982 1998
24.69 92.188 1.8 0 157 1985 1998
24.793 92.241 0.5 1 23 1986 1998
24.739 92.208 1.5 0 42 1986 1998
24.749 92.143 0.5 1 59 1995 1998
24.667 92.192 2.5 0 83 1994 1998
24.655 92.148 18.4 0 61 1970 1998
24.573 92.167 1.7 0 47 1994 1998
24.697 91.943 0.5 1 72 1996 1998
24.684 91.983 0.5 1 31 1997 1998
24.656 91.987 0.5 1 64 1988 1998
24.665 91.944 0.5 1 40 1997 1998
24.741 91.926 12.4 0 49 1978 1998
24.792 92.034 0.5 1 46 1991 1998
24.754 92.022 0.5 1 33 1994 1998
24.8 91.985 0.5 1 49 1988 1998
24.815 91.971 2.7 0 82 1994 1998
24.848 91.936 5.9 0 87 1992 1998
24.848 92.023 4.6 0 180 1985 1998
24.848 92.023 4.8 0 29 1995 1998
25.044 92.2 50.1 0 71 1997 1998
24.908 92.129 5.5 0 45 1993 1998
24.912 92.139 5 0 45 1997 1998
24.99 92.348 11 0 62 1988 1998
24.995 92.271 35.8 0 52 1979 1998
25.108 91.762 8.6 0 11 1982 1998
25.108 91.761 24.7 0 71 1998 1998
25.044 91.804 24.8 0 50 1993 1998
24.944 92.442 83.3 0 46 1986 1998
24.892 92.485 0.5 1 46 1990 1998
24.874 92.436 35.7 0 53 1975 1998
24.94 92.23 3.3 0 48 1975 1998
25.134 91.95 58 0 65 1996 1998
25.043 91.988 20.2 0 66 1990 1998
24.996 91.992 6.2 0 20 1995 1998
24.926 91.494 60.7 0 127 1996 1998
24.887 91.479 36 0 150 1992 1998
24.916 91.428 55.9 0 97 1994 1998
24.922 91.411 51.7 0 136 1994 1998
24.876 91.351 44.4 0 136 1996 1998
24.978 91.368 27.2 0 115 1988 1998
25.093 91.428 32.8 0 114 1974 1998
24.939 91.685 15.9 0 153 1996 1998
24.999 91.664 8.2 0 177 1993 1998
24.927 91.692 24.3 0 119 1988 1998
24.796 92.166 0.5 1 14 1986 1998
24.855 92.185 5.2 0 19 1991 1998
24.88 92.214 51.9 0 51 1982 1998
24.898 92.14 0.5 1 63 1980 1998
25.155 92.021 0.5 1 15 1991 1998
25.156 92.108 14.3 0 13 1997 1998
25.092 92.107 19 0 18 1997 1998
25.064 92.116 6.7 0 39 1988 1998
25.065 92.151 1.5 0 44 1994 1998
24.91 91.77 9.2 0 54 1993 1998
24.923 91.876 0.5 1 60 1996 1998
24.919 91.961 7.1 0 79 1994 1998
24.89 91.892 0.5 1 64 1984 1998
24.87 91.914 0.5 1 62 1989 1998
24.802 91.915 29.7 0 94 1996 1998
24.814 91.864 0.5 1 52 1994 1998
