Player,Pos,Age,Tm,year,G,GS,MP,X3PA,X3P.,X2PA,X2P.,FTA,FT.,ORB,DRB,AST,STL,BLK,TOV,PF,PER,USG.,WS.48,VORP
Kevin Garnett,PF,33,BOS,2010,69,69,2060,5,20,767,52.300000000000004,221,83.7,78,428,185,68,57,101,170,19.4,22.1,0.171,2.4
Marc Gasol,C,25,MEM,2010,69,69,2469,1,0,650,58.199999999999996,376,67,208,432,165,69,109,135,254,19.3,16.9,0.164,3.9
Pau Gasol,C,29,LAL,2010,65,65,2403,5,0,839,53.900000000000006,362,79,243,491,218,37,113,143,152,22.9,21.4,0.22,4.5
Rudy Gay,SF,23,MEM,2010,80,80,3175,202,32.7,1086,49.2,400,75.3,115,357,153,118,64,169,201,16.2,22.5,0.096,1.9
Alonzo Gee,SG,22,WAS,2010,11,2,182,9,77.8,50,42,29,62.1,15,18,7,7,1,10,13,16.2,20.4,0.108,0
Devean George,SF,32,GSW,2010,45,4,761,123,39,83,49.4,23,69.6,21,93,32,41,10,15,89,11.6,13,0.084,0.3
Daniel Gibson,PG,23,CLE,2010,56,10,1068,149,47.699999999999996,119,45.4,49,69.39999999999999,13,60,70,25,7,36,79,11.3,14.2,0.117,0.4
J.R. Giddens,SF,24,BOS,2010,21,1,99,2,0,19,47.4,12,50,4,16,6,4,1,7,10,7.3,15.8,0.015,-0.1
J.R. Giddens,SF,24,NYK,2010,11,0,140,8,0,31,61.3,11,63.6,12,19,7,5,1,10,19,10.5,17.4,0.026,-0.1
Manu Ginobili,SG,32,SAS,2010,75,21,2150,350,37.7,553,48.1,355,87,68,216,370,103,24,154,154,22.5,25.8,0.216,4.5
Ryan Gomes,SF,27,MIN,2010,76,64,2210,199,37.2,533,47.5,126,82.5,76,272,124,62,16,95,155,12.1,17.4,0.052,0.2
Drew Gooden,C,28,DAL,2010,46,11,1030,6,16.7,330,47.3,115,80.9,123,193,26,26,50,56,129,16.1,19.8,0.125,0.2
Drew Gooden,PF,28,LAC,2010,24,22,725,2,0,264,49.6,101,92.10000000000001,84,142,21,15,8,52,65,18,22.6,0.114,-0.1
Ben Gordon,SG,26,DET,2010,62,17,1730,234,32.1,465,46.5,230,86.1,26,93,166,49,6,118,147,14,24.5,0.059,-0.1
Eric Gordon,SG,21,LAC,2010,62,60,2229,321,37.1,463,50.3,299,74.2,25,135,186,69,14,144,96,14.1,21.5,0.069,0.9
Marcin Gortat,C,25,ORL,2010,81,0,1088,3,0,224,54,75,68,104,237,17,17,70,46,138,13.9,13,0.151,0.4
Joey Graham,SF,27,DEN,2010,63,18,759,13,15.4,189,54.50000000000001,73,74,39,84,22,23,7,43,104,10.6,16.2,0.072,-0.3
Stephen Graham,SG,27,CHA,2010,70,8,804,50,32,190,54.2,65,64.60000000000001,24,111,23,20,10,36,94,11.2,17.6,0.094,-0.3
Danny Granger,SF,26,IND,2010,62,62,2278,438,36.1,701,47.099999999999994,428,84.8,67,275,171,94,51,157,183,19.8,28.7,0.131,2.7
Danny Green,SG,22,CLE,2010,20,0,115,22,27.3,17,52.900000000000006,6,66.7,8,9,5,6,3,5,9,12.3,18.9,0.083,0
Jeff Green,PF,23,OKC,2010,82,82,3043,312,33.300000000000004,758,50.3,223,74,112,378,134,104,72,135,221,13.8,19.2,0.105,2.4
Willie Green,SG,28,PHI,2010,73,18,1553,136,34.599999999999994,407,49.4,114,83.3,20,109,152,32,11,67,135,12.8,19.4,0.067,-0.5
Donte Greene,SF,21,SAC,2010,76,50,1630,183,37.7,370,47.3,140,64.3,53,181,71,41,53,93,150,11.6,19.2,0.044,-0.2
Taylor Griffin,SF,23,PHO,2010,8,0,32,2,0,8,50,4,50,0,2,1,0,2,1,4,5.2,17.6,-0.039,0
Hamed Haddadi,C,24,MEM,2010,36,0,240,3,0,59,40.699999999999996,19,73.7,26,49,10,1,14,20,57,7.2,16.5,-0.002,-0.2
Malik Hairston,SG,22,SAS,2010,47,0,317,11,18.2,65,58.5,30,56.699999999999996,13,36,16,4,9,11,29,11.6,14.5,0.107,0
Marcus Haislip,SF,29,SAS,2010,10,0,44,5,60,16,43.8,5,40,4,6,0,0,2,3,5,15.4,27.3,0.065,-0.1
Richard Hamilton,SG,31,DET,2010,46,46,1552,138,29.7,579,43.5,241,84.6,30,92,202,30,3,115,115,14.9,27.9,0.043,-0.2
