ring,x97,x98,x99,x00,x01,x02,x03,x04,sex,bm,hb,cond,hcb,oxy,dde,p99,p118,p138,p153,p170,p180,pc1
380462,1,0,0,0,0,0,0,0,1,1670,148.7,-0.08727,6.4,11.46,81.72,13.54,24.49,44.69,68.21,14.18,47.65,0.679
380463,1,1,1,1,1,1,0,0,2,1530,135.4,0.01767,4.85,5.25,26.97,7.82,13.6,21.15,27.47,4.81,14.75,3.332
380464,1,1,1,0,1,1,1,1,1,1810,147,0.00154,13.41,15.04,58.88,15.37,27.21,44.19,60.75,9.83,28.16,0.699
380465,1,1,1,0,0,0,0,1,1,1720,148.6,-0.05729,16.15,36.69,132.2,30.89,68.5,101.15,200.88,33.3,106.12,-2.261
380466,1,1,1,0,0,0,0,0,1,1720,150,-0.06407,60.41,71.1,193.64,134.36,191.4,526.29,866.81,58.08,13.68,-4.793
380467,1,1,0,0,0,0,0,0,1,1940,144.4,0.0838,30.93,22.36,100.92,19.23,42.76,70.67,126.23,22.75,73.02,-1.28
380468,1,1,1,1,1,1,0,0,2,1640,135.5,0.0862,23.28,24.83,104.28,26.13,46.07,96.79,170.8,29.09,93.6,-1.775
380469,1,1,0,0,0,0,0,0,1,1900,145,0.05997,45.81,54.18,226.39,52.4,82.57,162.65,399.98,44.25,156.43,-3.94
380470,1,1,0,0,0,0,0,0,1,1890,147.7,0.04136,15.91,9.92,59.77,10.45,21.35,34.42,54.14,8.86,26.64,1.221
380471,1,1,0,0,0,0,0,0,1,1890,152.3,0.01919,14.12,25.04,129.51,27.79,43.17,92.59,159.11,25.71,91.3,-1.589
380472,1,1,1,0,0,0,0,0,1,1860,149.2,0.01805,47.16,67.17,236.94,64.26,146.73,309.33,551.71,58.04,197.4,-4.883
380473,1,1,0,0,0,0,0,0,1,1890,149,0.03502,75.08,105.36,297.23,151.9,278.28,643.8,1111.97,83.2,287.6,-6.688
380474,1,1,1,1,1,0,0,0,2,1470,133.7,-0.00702,4.94,7.5,32.94,7.88,18.97,42.15,60.9,18.75,54.75,1.537
380475,1,1,1,1,1,1,0,0,2,1680,136.6,0.1005,6.07,9.81,32.07,8.13,11.19,24.05,36.98,7.53,22.97,2.569
380476,1,0,1,1,0,1,0,0,2,1740,135.1,0.14898,4.49,12.07,41.61,10.91,11.38,27.15,44.22,7.33,21.19,2.301
380477,1,1,0,1,1,0,0,0,2,1540,139.9,-0.01544,10.37,24.85,78.28,21.2,34.89,73.54,150.07,27.32,98.51,-1.008
380478,1,1,0,0,0,0,0,0,1,1740,152.2,-0.06303,13.11,77.63,178.5,38.37,91.06,135,484.94,51.81,233.93,-3.598
380479,1,1,0,0,0,0,0,0,1,1790,148.5,-0.01691,28.75,117.68,284.34,67.8,127.82,185.34,507.12,60.56,206.51,-4.744
380480,1,0,0,1,1,1,1,0,1,1920,150.8,0.04209,25.3,32.91,106.14,46.82,73.07,199.75,404.75,55.38,213.38,-3.408
380481,1,0,0,0,0,0,0,0,2,1370,127,-0.01516,9.33,18.3,38.17,19,26.91,69.06,117.56,20.67,69.84,-0.101
